City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Koudougou,BF,2022-01-30 18:21:46,12.25,-2.3667,87.19,7,5,11.97
68,Iqaluit,CA,2022-01-30 18:21:46,63.7506,-68.5145,-11.47,70,75,6.91
69,Flin Flon,CA,2022-01-30 18:21:47,54.7682,-101.865,6.64,72,100,5.75
70,Mahebourg,MU,2022-01-30 18:21:47,-20.4081,57.7,80.89,83,75,8.05
71,Bandarbeyla,SO,2022-01-30 18:21:47,9.4942,50.8122,76.05,73,56,15.95
72,Devils Lake,US,2022-01-30 18:20:54,48.1128,-98.8651,15.94,82,20,11.01
73,Bredasdorp,ZA,2022-01-30 18:21:48,-34.5322,20.0403,72.28,83,20,12.66
74,Sadiqabad,PK,2022-01-30 18:21:48,28.3062,70.1307,62.11,26,0,2.75
75,Byron Bay,AU,2022-01-30 18:21:48,-28.65,153.6167,73.87,89,89,7.09
76,Arraial Do Cabo,BR,2022-01-30 18:21:49,-22.9661,-42.0278,89.56,58,40,8.05
77,Thompson,CA,2022-01-30 18:21:49,55.7435,-97.8558,3.36,78,20,4.61
78,Berbera,SO,2022-01-30 18:21:50,10.4396,45.0143,75.65,63,53,8.46
79,East London,ZA,2022-01-30 18:21:50,-33.0153,27.9116,74.34,88,20,13.8
80,Goderich,CA,2022-01-30 18:21:50,43.7501,-81.7165,21.9,68,100,9.22
81,Butaritari,KI,2022-01-30 18:21:51,3.0707,172.7902,81.75,77,64,21.74
82,Ruidoso,US,2022-01-30 18:21:51,33.3317,-105.673,55.06,31,20,1.01
83,Oga,IT,2022-01-30 18:21:51,46.4631,10.347,34.88,93,10,6.6
84,Sao Joao Da Barra,BR,2022-01-30 18:17:10,-21.6403,-41.0511,87.89,73,61,8.5
85,Bambous Virieux,MU,2022-01-30 18:17:53,-20.3428,57.7575,80.85,83,75,8.05
86,Georgetown,MY,2022-01-30 18:21:52,5.4112,100.3354,82.89,88,20,0.0
