City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Khatanga,RU,2022-02-02 21:39:08,71.9667,102.5,-36.9,98,47,1.25,scattered clouds
60,Albany,US,2022-02-02 21:43:34,42.6001,-73.9662,42.75,74,82,7.52,broken clouds
61,Nome,US,2022-02-02 21:43:35,64.5011,-165.4064,10.47,57,0,35.68,clear sky
62,Port Elizabeth,ZA,2022-02-02 21:43:35,-33.918,25.5701,72.1,100,75,13.8,broken clouds
63,Slapanice,CZ,2022-02-02 21:43:35,49.1686,16.7273,39.2,72,40,14.0,scattered clouds
64,Salalah,OM,2022-02-02 21:43:36,17.0151,54.0924,71.69,35,0,3.44,clear sky
65,Olinda,BR,2022-02-02 21:43:36,-8.0089,-34.8553,83.93,70,20,10.36,few clouds
66,Bluff,NZ,2022-02-02 21:42:50,-46.6,168.3333,57.79,66,100,16.69,overcast clouds
67,Saint-Philippe,RE,2022-02-02 21:39:03,-21.3585,55.7679,80.19,94,100,34.09,heavy intensity rain
68,Palas,ID,2022-02-02 21:43:37,-5.6519,105.6801,74.34,93,85,4.74,overcast clouds
69,Georgetown,MY,2022-02-02 21:40:28,5.4112,100.3354,80.53,90,20,0.0,few clouds
70,Cap Malheureux,MU,2022-02-02 21:43:37,-19.9842,57.6142,79.47,89,100,21.0,overcast clouds
71,Hilo,US,2022-02-02 21:42:31,19.7297,-155.09,78.12,69,40,6.91,scattered clouds
72,Vao,NC,2022-02-02 21:43:37,-22.6667,167.4833,77.74,77,97,14.54,overcast clouds
73,Airai,TL,2022-02-02 21:43:38,-8.9266,125.4092,60.66,89,100,2.35,moderate rain
74,San Ramon,US,2022-02-02 21:43:38,37.7799,-121.978,62.76,26,0,3.0,clear sky
75,Zlobin,HR,2022-02-02 21:43:38,45.2924,14.6541,40.3,43,0,6.91,clear sky
76,Katsuura,JP,2022-02-02 21:42:05,35.1333,140.3,39.18,51,30,9.46,scattered clouds
77,Conceicao Do Araguaia,BR,2022-02-02 21:43:39,-8.2578,-49.2647,75.38,90,19,4.47,few clouds
78,Half Moon Bay,US,2022-02-02 21:43:39,37.4636,-122.4286,64.45,30,0,4.0,clear sky
79,Banda Aceh,ID,2022-02-02 21:43:39,5.5577,95.3222,76.89,86,39,6.06,scattered clouds
80,Sao Filipe,CV,2022-02-02 21:38:53,14.8961,-24.4956,75.78,65,3,17.96,clear sky
81,Yarada,IN,2022-02-02 21:43:40,17.65,83.2667,70.12,100,20,2.3,mist
82,Hermanus,ZA,2022-02-02 21:43:40,-34.4187,19.2345,66.9,87,5,11.12,clear sky
